state,account_length,area_code,international_plan,voice_mail_plan,number_vmail_messages,total_day_minutes,total_day_calls,total_day_charge,total_eve_minutes,total_eve_calls,total_eve_charge,total_night_minutes,total_night_calls,total_night_charge,total_intl_minutes,total_intl_calls,total_intl_charge,number_customer_service_calls,churn
AL,70,area_code_415,no,no,0,2086.7,110,39.15,1009.9,87,6.62,247.1,105,11.12,13.2,4,3.56,1,no
SD,149,area_code_408,no,yes,28,2062.8,92,30.72,1119.8,64,15.96,265.5,53,11.95,12.6,3,3.4,3,no
CT,NA,area_code_408,no,no,0,198.6,111,33.76,213.9,115,18.18,171.2,105,7.7,10.6,6,2.86,2,no
WV,11,area_code_510,no,yes,38,209.8,130,35.67,196.6,84,16.71,233,79,10.49,7,7,1.89,1,no
MA,80,area_code_408,no,yes,36,190.3,115,32.35,256.6,78,21.81,214.9,145,9.67,3.8,4,1.03,1,no
AK,NA,area_code_510,yes,yes,NA,NA,NA,NA,NA,NA,NA,NA,98,NA,NA,NA,NA,NA,no
VA,112,area_code_408,no,yes,29,198.8,122,33.8,238.6,114,20.28,289.5,69,13.03,11.5,5,3.11,1,no
MD,140,area_code_415,yes,yes,27,188.9,124,32.11,160.9,102,13.68,197.7,100,8.9,11.5,5,3.11,4,no
WV,87,area_code_415,no,no,0,124.3,91,21.13,173.4,105,14.74,256.3,109,11.53,7.5,5,2.03,3,no
WA,184,area_code_408,no,no,0,151.7,93,25.79,178.5,77,15.17,229.1,111,10.31,13.1,8,3.54,2,no
NC,80,area_code_415,yes,no,0,189.1,122,32.15,223.2,92,18.97,269,116,12.11,13.9,3,3.75,2,yes
IN,58,area_code_415,no,yes,22,2169.1,127,38.1,1170.8,85,20.3,174.2,86,7.84,11.5,7,3.11,2,no
NY,60,area_code_510,no,yes,31,191.8,75,32.61,267.8,135,22.76,200.5,62,9.02,12.8,3,3.46,2,no
MT,25,area_code_415,no,no,-7,134.3,98,22.83,202.3,109,17.2,195.9,100,8.82,12.6,5,3.4,2,no
MO,107,area_code_415,no,yes,22,281.1,83,47.79,143.7,130,12.21,239.4,128,10.77,11.2,NA,3.02,1,no
NE,46,area_code_408,no,no,0,210.2,92,35.73,227.3,77,19.32,200.1,116,9,13.1,7,3.54,1,no
AK,52,area_code_510,no,no,0,148.3,83,25.21,181.6,79,15.44,155.6,104,7,8.3,6,2.24,3,no
MN,91,area_code_415,no,no,0,133.8,61,22.75,158.8,96,13.5,189.6,92,8.53,10.5,2,2.84,1,no
MT,113,area_code_415,no,no,0,215.9,93,36.7,240.1,85,20.41,156.7,123,7.05,4.9,5,1.32,3,no
TX,41,area_code_408,no,yes,-5,213.8,102,36.35,141.8,86,12.05,142.2,123,6.4,7.2,3,1.94,0,no
NM,132,area_code_408,no,no,0,169.9,107,28.88,209.4,121,17.8,206.1,79,9.27,11.5,2,3.11,1,no
SD,137,area_code_510,no,no,0,242.1,118,41.16,191,93,16.24,218.6,50,9.84,14.7,2,3.97,3,no
UT,110,area_code_415,no,no,-7,271.1,108,46.09,237,122,20.15,239.9,122,10.8,9.8,5,2.65,2,yes
SD,116,area_code_408,no,no,0,167.8,119,28.53,142,123,12.07,190.7,128,8.58,7.3,4,1.97,2,no
NM,111,area_code_415,no,no,0,132.6,125,22.54,221.1,67,18.79,127.9,101,5.76,12.7,2,3.43,4,yes
GA,160,area_code_415,no,no,0,174.3,105,29.63,171.3,107,14.56,220.8,131,9.94,8.3,2,2.24,0,no
MI,81,area_code_415,no,no,-3,153.5,99,26.1,197.6,102,16.8,198.5,86,8.93,6.3,2,1.7,2,no
WV,44,area_code_510,no,no,0,228.1,121,38.78,276.5,79,23.5,279.8,77,12.59,9.9,5,2.67,2,yes
UT,164,area_code_510,no,no,0,192.1,95,32.66,249.8,94,21.23,132.6,100,5.97,7.3,3,1.97,3,no
WV,115,area_code_510,yes,no,0,249.9,95,42.48,242.5,104,20.61,151.7,121,6.83,15.3,6,4.13,1,yes
LA,128,area_code_415,no,no,0,147.7,94,25.11,283.3,83,24.08,188.3,124,8.47,6.9,5,1.86,2,no
KS,43,area_code_415,no,no,0,27,117,4.59,160.9,97,13.68,279.5,96,12.58,10.7,3,2.89,3,no
WI,161,area_code_408,no,no,0,1953.8,84,26.3,1109.8,125,15.11,172.9,90,7.78,5.9,2,1.59,4,yes
OK,155,area_code_408,no,yes,30,61.6,103,10.47,255.1,110,21.68,225.9,96,10.17,12.4,5,3.35,1,no
NH,139,area_code_510,no,no,-8,221.3,140,37.62,157.8,89,13.41,192.5,89,8.66,11.3,6,3.05,1,no
LA,114,area_code_415,no,no,0,169.2,96,28.76,149.9,83,12.74,196.9,119,8.86,4.6,4,1.24,2,no
AL,132,area_code_408,no,no,0,222.4,85,37.81,165.4,76,14.06,208.4,97,9.38,11.2,4,3.02,0,no
ME,118,area_code_408,yes,yes,21,156.5,122,26.61,209.2,125,17.78,158.7,81,7.14,11.1,3,3,4,yes
NV,NA,area_code_415,no,no,NA,NA,NA,NA,NA,NA,NA,NA,98,NA,NA,NA,NA,NA,no
TX,133,area_code_408,no,no,0,221.1,133,37.59,160.2,140,13.62,161.8,84,7.28,8.4,3,2.27,4,no
GA,125,area_code_415,no,yes,39,236.1,107,40.14,289.2,110,24.58,175.4,107,7.89,9.1,4,2.46,2,no
NJ,138,area_code_510,no,no,0,220.2,89,37.43,88.3,125,7.51,195.3,79,8.79,12.9,5,3.48,0,no
AZ,NA,area_code_415,no,no,0,220.8,111,37.54,156.2,67,13.28,187.9,89,8.46,10.5,4,2.84,2,no
GA,135,area_code_415,no,yes,22,197.1,113,33.51,259.4,95,22.05,134.7,135,6.06,14.6,5,3.94,2,no
WI,NA,area_code_415,no,no,0,246.5,108,41.91,216.3,89,18.39,179.6,99,8.08,12.7,3,3.43,2,no
FL,NA,area_code_510,no,yes,NA,NA,NA,NA,NA,NA,NA,NA,102,NA,NA,NA,NA,NA,yes
DC,115,area_code_408,no,no,0,178.7,114,30.38,271,96,23.04,245.9,94,11.07,16.4,5,4.43,2,no
WI,105,area_code_408,no,no,0,147.7,103,25.11,222.7,78,18.93,163.5,102,7.36,12.8,3,3.46,2,no
OH,80,area_code_415,no,no,0,197.6,83,33.59,164.5,86,13.98,94,98,4.23,6.4,6,1.73,1,no
NM,105,area_code_408,no,no,0,146.4,81,24.89,225.1,80,19.13,230.1,117,10.35,8.5,2,2.3,1,no
TX,58,area_code_408,no,yes,20,194.5,110,33.07,213.7,89,18.16,236.6,92,10.65,9.5,2,2.57,1,no
VA,NA,area_code_510,yes,no,NA,NA,NA,NA,NA,NA,NA,NA,121,NA,NA,NA,NA,NA,no
WY,125,area_code_415,no,no,0,140.1,132,23.82,209.6,126,17.82,264.1,77,11.88,8,2,2.16,1,no
MN,37,area_code_415,no,yes,20,264.7,81,45,216.5,110,18.4,210.7,102,9.48,10.4,7,2.81,0,no
AZ,88,area_code_415,no,no,-5,172.8,81,29.38,193.4,90,16.44,89.6,107,4.03,12.8,5,3.46,2,no
AL,181,area_code_415,no,yes,27,190.3,93,32.35,249,127,21.17,215.7,82,9.71,10.6,4,2.86,1,no
GA,NA,area_code_415,no,yes,30,127.1,89,21.61,172.1,116,14.63,194.6,111,8.76,12.1,3,3.27,1,no
IN,122,area_code_408,no,no,0,170.5,94,28.99,173.7,109,14.76,248.6,75,11.19,11.3,2,3.05,1,no
MA,118,area_code_408,yes,no,0,160,123,27.2,175.4,96,14.91,184.8,99,8.32,9.9,3,2.67,2,no
NV,178,area_code_408,no,no,0,275.4,150,46.82,187.5,62,15.94,147.1,126,6.62,13.6,NA,3.67,1,no
ID,74,area_code_415,no,no,0,221.1,124,37.59,110.8,94,9.42,240.1,112,10.8,10.6,3,2.86,0,no
NV,86,area_code_510,no,no,-5,141.3,72,24.02,154.3,95,13.12,210.6,91,9.48,8.2,5,2.21,1,no
FL,NA,area_code_408,yes,no,0,116.2,86,19.75,229.7,127,19.52,204.2,109,9.19,10.1,3,2.73,3,no
WI,91,area_code_408,no,yes,44,216.6,101,36.82,173.1,98,14.71,242.1,95,10.89,9.1,3,2.46,1,no
DC,148,area_code_415,no,yes,11,2081.8,129,42.99,1216.3,88,24.17,262.8,99,11.83,12.3,1,3.32,1,no
WA,167,area_code_415,no,no,0,169.2,124,28.76,173.3,108,14.73,216.5,64,9.74,12.4,4,3.35,4,yes
OK,154,area_code_415,yes,no,0,145.9,69,24.8,208.2,141,17.7,180.9,106,8.14,14.4,10,3.89,0,yes
OR,NA,area_code_415,no,no,0,143.8,71,24.45,184,131,15.64,275.5,132,12.4,12.9,4,3.48,3,no
OK,121,area_code_408,no,yes,31,1976.8,63,40.31,1137.6,117,17.48,196.7,85,8.85,10.1,5,2.73,4,no
FL,90,area_code_415,no,yes,24,71.2,82,12.1,181.6,103,15.44,186.9,111,8.41,12.9,1,3.48,1,no
FL,103,area_code_415,no,no,0,158.7,90,26.98,198.4,117,16.86,181.1,76,8.15,10.5,4,2.84,1,no
VT,95,area_code_510,no,no,0,203.4,96,34.58,168.6,61,14.33,173,105,7.79,13.7,3,3.7,2,no
MI,133,area_code_408,no,no,0,277.3,138,47.14,228.4,117,19.41,117.3,103,5.28,12.8,4,3.46,2,yes
TN,105,area_code_408,no,no,0,206.2,84,35.05,256.4,138,21.79,117.1,91,5.27,9,3,2.43,1,no
NV,37,area_code_415,no,no,0,233.7,114,39.73,207.9,109,17.67,212.7,101,9.57,12,2,3.24,2,no
MA,132,area_code_408,no,yes,-3,201.9,93,34.32,156.3,75,13.29,131.3,92,5.91,13.7,5,3.7,0,no
OH,94,area_code_415,no,no,0,181.3,135,30.82,182.4,108,15.5,180.6,103,8.13,6.7,2,1.81,0,no
MD,98,area_code_415,no,no,0,2114.9,92,35.11,1108.2,152,14.98,232.8,115,10.48,12.4,5,3.35,5,no
HI,131,area_code_415,no,yes,30,174,118,29.58,205.3,81,17.45,218.2,90,9.82,6.7,3,1.81,1,no
NM,54,area_code_415,no,yes,24,92.3,88,15.69,193.1,98,16.41,99.3,119,4.47,11.6,3,3.13,2,no
WI,45,area_code_408,no,no,0,112.8,108,19.18,218.8,120,18.6,240.2,106,10.81,9,3,2.43,2,no
SD,NA,area_code_415,no,yes,NA,NA,NA,NA,NA,NA,NA,NA,85,NA,NA,NA,NA,NA,no
NM,113,area_code_510,no,no,0,150.1,120,25.52,200.1,85,17.01,266.7,105,12,11,3,2.97,2,no
AL,77,area_code_415,no,no,0,163,112,27.71,219.1,89,18.62,233.4,66,10.5,6.7,3,1.81,2,no
RI,176,area_code_415,no,no,0,2008.8,108,42.65,1103.4,100,14.57,148.6,85,6.69,9.6,6,2.59,2,no
CT,120,area_code_408,yes,no,0,2070.2,123,34.34,1116.3,78,15.67,176,89,7.92,7.4,2,2,2,yes
NY,142,area_code_415,no,no,0,145.4,93,24.72,209.1,98,17.77,214,96,9.63,10.9,1,2.94,1,no
KY,80,area_code_415,no,no,-3,220,114,37.4,207.7,76,17.65,168.4,137,7.58,12.1,3,3.27,2,no
FL,70,area_code_510,yes,no,0,226.7,98,38.54,228.1,115,19.39,73.2,93,3.29,17.6,4,4.75,2,yes
CA,95,area_code_415,no,no,0,2017.1,98,31.18,1213.3,95,23.91,105.2,113,4.73,8.2,8,2.21,1,no
SD,131,area_code_510,no,no,0,187.9,110,31.94,200.5,101,17.04,202.6,125,9.12,10.2,11,2.75,2,no
NY,171,area_code_415,no,no,-1,137.5,110,23.38,198.1,109,16.84,292.7,131,13.17,13.3,5,3.59,2,no
NE,63,area_code_415,no,no,0,211.2,80,35.9,NA,93,20.2,259.2,58,11.66,12.3,2,3.32,0,no
DC,76,area_code_415,no,no,0,224.4,121,38.15,147.9,97,12.57,183.8,74,8.27,6.7,2,1.81,2,no
TN,NA,area_code_415,no,no,NA,NA,NA,NA,NA,NA,NA,NA,57,NA,NA,NA,NA,NA,no
CO,108,area_code_415,no,no,0,215.6,78,36.65,195.3,119,16.6,194.4,65,8.75,3.6,5,0.97,1,no
WI,NA,area_code_408,no,no,0,200.6,106,34.1,152.5,127,12.96,199.4,128,8.97,7.7,2,2.08,3,no
VT,64,area_code_408,no,no,0,145.5,116,24.74,228.4,110,19.41,273.4,91,12.3,8.9,8,2.4,1,no
NJ,153,area_code_510,no,no,-3,122.5,145,20.83,273.3,103,23.23,197.8,71,8.9,8,3,2.16,2,no
WA,97,area_code_408,no,no,0,276.1,82,46.94,201.1,106,17.09,231.3,73,10.41,8.9,4,2.4,0,yes
MO,64,area_code_510,no,yes,48,94.4,104,16.05,136.2,101,11.58,147.4,89,6.63,4.5,4,1.22,0,no
WV,73,area_code_415,no,no,0,240.3,130,40.85,162.5,83,13.81,231.9,136,10.44,11.9,3,3.21,0,no
NM,25,area_code_415,no,no,0,119.3,87,20.28,211.5,101,17.98,268.9,86,12.1,10.5,4,2.84,3,no
CT,3,area_code_415,no,yes,36,118.1,117,20.08,221.5,125,18.83,103.9,89,4.68,11.9,6,3.21,2,no
ID,148,area_code_510,no,yes,14,2039.3,137,15.91,1125.8,72,16.47,144.9,84,6.52,17.5,5,4.73,1,no
OR,60,area_code_415,no,no,0,2012.2,109,35.33,1055.5,112,10.5,291.6,115,13.12,5.7,9,1.54,0,no
AL,NA,area_code_510,no,no,0,129.2,71,21.96,214.1,68,18.2,214.9,100,9.67,10.3,4,2.78,5,yes
TN,39,area_code_408,no,no,0,187.2,110,31.82,114.7,116,9.75,104.7,83,4.71,13.2,5,3.56,1,no
WV,113,area_code_510,no,no,0,72.5,88,12.33,204,112,17.34,117.9,118,5.31,6.6,3,1.78,1,no
OH,NA,area_code_510,no,no,0,278,76,47.26,176.7,74,15.02,219.5,126,9.88,8.3,4,2.24,0,yes
KS,110,area_code_510,no,no,0,208,69,35.36,95.1,94,8.08,178.5,129,8.03,8,11,2.16,1,no
LA,93,area_code_415,no,no,0,179.3,93,30.48,178.6,98,15.18,225.2,131,10.13,11.5,6,3.11,3,no
SD,97,area_code_415,no,no,0,168.6,87,28.66,259.2,105,22.03,279.8,123,12.59,7.3,NA,1.97,1,no
NJ,NA,area_code_415,no,yes,30,183.1,95,31.13,232.6,110,19.77,248.3,110,11.17,8.4,2,2.27,0,no
WA,157,area_code_415,no,no,0,152.7,105,25.96,257.5,80,21.89,198.1,93,8.91,9.4,4,2.54,1,no
MS,NA,area_code_415,yes,yes,23,245.5,54,41.74,292.7,83,24.88,184,90,8.28,10.8,7,2.92,1,no
OH,125,area_code_408,no,no,0,106.1,95,18.04,157.6,113,13.4,192.5,69,8.66,8.1,3,2.19,1,no
MN,68,area_code_510,no,no,0,226.7,94,38.54,168.4,129,14.31,188.7,117,8.49,10.2,1,2.75,0,no
MA,80,area_code_510,no,no,0,149.8,123,25.47,276.3,75,23.49,241.4,75,10.86,10.9,7,2.94,2,no
MD,86,area_code_408,no,no,0,2038,88,38.47,1155,107,18.96,255.6,92,11.5,13,3,3.51,4,no
AZ,99,area_code_415,no,no,0,2048,87,33.69,1139.3,76,17.62,190.9,113,8.59,8.7,3,2.35,4,no
NE,NA,area_code_415,no,no,0,169.4,102,28.8,184.9,144,15.72,234.3,89,10.54,2,7,0.54,1,no
OH,66,area_code_415,no,no,0,170.5,103,28.99,254.3,77,21.62,197.3,138,8.88,10.5,2,2.84,2,no
IL,138,area_code_510,yes,no,0,169.3,82,28.78,217.9,147,18.52,184.2,77,8.29,9.4,9,2.54,1,no
NJ,129,area_code_415,no,no,0,168.4,117,28.63,217.1,129,18.45,81.6,100,3.67,11.8,7,3.19,1,no
OR,NA,area_code_408,no,no,NA,NA,NA,NA,NA,NA,NA,NA,112,NA,NA,NA,NA,NA,yes
VT,121,area_code_415,yes,yes,44,254.1,127,43.2,180.2,108,15.32,196.2,129,8.83,8.7,4,2.35,3,no
NM,-80,area_code_510,no,no,0,206.3,97,35.07,154.9,98,13.17,263.6,82,11.86,12.4,12,3.35,0,no
NC,86,area_code_510,no,no,0,190.5,115,32.39,179.6,130,15.27,258.5,89,11.63,10.1,5,2.73,3,no
ND,148,area_code_415,yes,no,-2,218.7,111,37.18,155.6,133,13.23,277.4,62,12.48,8.2,5,2.21,1,no
NY,104,area_code_415,no,yes,26,189.1,112,32.15,178.2,97,15.15,199.3,104,8.97,11.1,4,3,1,no
UT,47,area_code_408,no,yes,-6,112.8,150,19.18,243.9,97,20.73,178.7,112,8.04,13.2,6,3.56,2,no
WY,145,area_code_408,no,no,0,229.6,82,39.03,138.1,103,11.74,250.8,109,11.29,3.3,3,0.89,1,no
IL,179,area_code_510,no,no,0,116.1,101,19.74,201.8,99,17.15,181.9,103,8.19,11.6,5,3.13,0,no
MS,66,area_code_408,no,yes,32,187.8,117,31.93,129.8,90,11.03,132.3,113,5.95,12,3,3.24,2,no
HI,87,area_code_408,no,yes,28,143.5,106,24.4,223.5,147,19,175.4,69,7.89,11.2,5,3.02,0,no
MA,128,area_code_415,no,no,0,195.6,99,33.25,267.8,120,22.76,164.9,76,7.42,16,2,4.32,0,no
WV,172,area_code_415,no,no,0,211.7,100,35.99,198.7,101,16.89,301.7,136,13.58,6.5,9,1.76,1,no
DE,106,area_code_415,no,no,0,2056.3,83,21.86,1066,114,11.39,210.6,113,9.48,11.4,2,3.08,0,no
TN,57,area_code_510,no,no,0,149.3,100,25.38,200.2,110,17.02,231.7,101,10.43,11.9,3,3.21,2,no
RI,127,area_code_510,no,no,0,2115.8,117,16.32,1109,68,15.05,162.2,127,7.3,9.7,4,2.62,3,no
CO,118,area_code_408,no,no,0,188.8,60,32.1,217.4,64,18.48,220.1,100,9.9,8.2,7,2.21,4,no
IA,40,area_code_510,no,no,0,169.7,115,28.85,141.4,123,12.02,253,115,11.39,10.5,3,2.84,4,yes
TX,1,area_code_415,no,no,-4,182.1,106,30.96,134.9,106,11.47,152.3,75,6.85,10,3,2.7,5,yes
CO,181,area_code_510,no,yes,40,105.2,61,17.88,341.3,79,29.01,165.7,97,7.46,6.3,3,1.7,2,no
WV,144,area_code_415,no,no,0,201.1,99,34.19,303.5,74,25.8,224,119,10.08,13.2,2,3.56,1,no
WI,-72,area_code_408,no,no,0,179.9,113,30.58,149.8,112,12.73,168.2,79,7.57,9.8,7,2.65,2,no
OH,134,area_code_415,no,no,0,7.8,86,1.33,171.4,100,14.57,186.5,80,8.39,12.9,2,3.48,2,no
CA,112,area_code_415,no,no,0,111.9,92,19.02,114,143,9.69,146.8,79,6.61,14.1,3,3.81,5,yes
WY,151,area_code_510,no,no,0,235.9,104,40.1,80.6,91,6.85,212.8,116,9.58,5.8,2,1.57,3,no
TN,NA,area_code_408,no,yes,NA,NA,NA,NA,NA,NA,NA,NA,114,NA,NA,NA,NA,NA,no
ME,39,area_code_408,no,no,0,154.1,104,26.2,204.2,112,17.36,196.2,92,8.83,9.8,4,2.65,2,no
GA,143,area_code_408,no,yes,33,239.2,109,40.66,235.5,112,20.02,156.3,95,7.03,9.5,4,2.57,1,no
UT,NA,area_code_415,no,no,NA,NA,NA,NA,NA,NA,NA,NA,128,NA,NA,NA,NA,NA,no
WA,56,area_code_408,no,no,0,210.4,80,35.77,176.6,96,15.01,149.7,56,6.74,15.5,4,4.19,1,no
MA,58,area_code_408,no,no,-6,174.4,112,29.65,265.8,122,22.59,182.4,87,8.21,0,0,0,4,no
CO,118,area_code_415,no,yes,36,294.9,106,50.13,165.7,115,14.08,189.2,63,8.51,9.8,5,2.65,3,no
NV,143,area_code_408,no,no,0,155.5,101,26.44,213.4,89,18.14,237.9,61,10.71,7.6,11,2.05,1,no
IN,78,area_code_415,no,no,0,2022.4,119,35.51,1184.4,132,21.45,280.2,120,12.61,12.8,7,3.46,0,no
VA,34,area_code_415,no,no,0,151,102,25.67,131.4,101,11.17,186.6,86,8.4,9.9,7,2.67,0,no
ID,166,area_code_415,no,no,0,220.7,106,37.52,177.8,118,15.11,206.1,102,9.27,12.4,9,3.35,1,no
NV,93,area_code_408,no,no,0,114.3,100,19.43,221.1,103,18.79,126.3,88,5.68,10.9,9,2.94,0,no
IN,46,area_code_415,no,yes,34,191.4,102,32.54,361.8,96,30.75,147.5,132,6.64,7.2,2,1.94,1,no
WA,118,area_code_510,no,no,0,113,80,19.21,150.1,87,12.76,204.3,115,9.19,10.8,4,2.92,2,no
WI,80,area_code_415,no,no,0,239.9,121,40.78,142.3,51,12.1,364.3,106,16.39,9.3,NA,2.51,1,no
DC,123,area_code_408,no,yes,28,2075.6,105,21.2,1182.4,78,21.28,216.4,128,9.74,7.8,8,2.11,1,no
AZ,100,area_code_415,no,no,0,131.1,108,22.29,176.2,81,14.98,89.7,81,4.04,4.3,4,1.16,1,no
AZ,NA,area_code_415,no,yes,33,137.8,95,23.43,235.5,128,20.02,268.1,70,12.06,11,6,2.97,2,no
WV,84,area_code_408,no,no,0,1950.3,133,24.96,1103.7,73,14.59,234.5,69,10.55,9.9,3,2.67,1,no
RI,180,area_code_415,no,no,0,143.3,134,24.36,180.5,113,15.34,184.2,87,8.29,10.1,4,2.73,1,no
IL,79,area_code_408,yes,no,0,103.5,134,17.6,319.3,111,27.14,239.9,124,10.8,8.4,4,2.27,2,no
NC,NA,area_code_510,no,no,0,214.4,94,36.45,138,149,11.73,148.7,102,6.69,9.9,1,2.67,2,no
GA,50,area_code_408,no,yes,24,2034.8,129,36.43,1221.8,55,24.63,312.5,130,14.06,10.6,4,2.86,1,no
MN,NA,area_code_408,no,no,NA,NA,NA,NA,NA,NA,NA,NA,145,NA,NA,NA,NA,NA,no
WI,70,area_code_415,no,no,-10,156.4,108,26.59,171,116,14.54,196.1,96,8.82,8.6,4,2.32,2,no
NC,73,area_code_415,no,yes,31,1997.1,104,33.05,1108,84,14.96,230.1,110,10.35,11.5,3,3.11,0,no
NJ,147,area_code_415,no,yes,36,2053.3,78,43.21,1160.1,105,19.39,98,125,4.41,13.8,7,3.73,5,no
NM,NA,area_code_415,no,no,NA,NA,NA,NA,NA,NA,NA,NA,92,NA,NA,NA,NA,NA,no
WI,105,area_code_415,no,yes,34,218.5,61,37.15,196.7,74,16.72,151.1,103,6.8,9.9,4,2.67,2,no
ID,NA,area_code_408,no,no,0,190.4,102,32.37,158.1,107,13.44,271.5,92,12.22,11.2,4,3.02,2,no
TX,NA,area_code_415,no,yes,31,263.1,70,44.73,279.3,118,23.74,127.1,143,5.72,9.7,4,2.62,5,no
ND,84,area_code_408,no,yes,38,193,106,32.81,153.6,106,13.06,260.4,87,11.72,7.4,5,2,2,no
OR,97,area_code_415,no,no,0,146,121,24.82,203,141,17.26,151.8,120,6.83,13.3,2,3.59,1,no
NC,129,area_code_415,no,no,0,2005.6,131,9.3,1188.1,105,21.77,176.6,135,7.95,11.1,4,3,1,no
OK,NA,area_code_415,no,yes,NA,NA,NA,NA,NA,NA,NA,NA,98,NA,NA,NA,NA,NA,no
MD,67,area_code_415,no,no,0,171.7,80,29.19,110.4,81,9.38,195.4,111,8.79,11.9,4,3.21,2,no
ND,NA,area_code_415,no,no,0,217.7,118,37.01,231.7,128,19.69,185.3,128,8.34,0,0,0,3,no
AL,93,area_code_408,no,no,0,267.9,114,45.54,223,74,18.96,262.7,90,11.82,11.3,3,3.05,3,yes
